Quantity,Lot Name,Rate,Bid Sheet,Unit,Lot No.,Buyer,Material Value,GST TDS Rate,Security Deposit (Received),SD Receipt Date (Text),Final Payment (Received),FP Receipt Date (Text),LPP Received,LPP Receipt Date (Text),Payment Status (Sheet),Invoice No.,SAP Document,Invoice Date (Text)
669,SCRAP COPPER OF T/F WINDING (Oil impregnated paper insulated T/F winding),1181,21980,KG,1763,AL HAMD TRADE CORPORATION,790089,0.02,197522,2026-08-24,716216,2026-08-18,,,SETTLED,DR2640100029,1800003271,2026-08-24
270,Scrap of Empty oil drum,580,21977,NO,1874,NATIONAL ENTERPRISES,156600,0,39150,2026-08-13,145090,2026-08-24,,,SETTLED,DR2640100030,1800003302,2026-08-27
28,Scrap of Copper of faulty AC compressor,1456,21977,KG,1875,F R KHANS ENTERPRISES,40768,0,10192,2026-08-11,37772,2026-08-20,,,SETTLED,DR2640100047,1800003346,2026-08-27
3000,Scrap of MS (extracted from equip cage and empty Sf6 gas cylinder),66,21977,KG,1876,F R KHANS ENTERPRISES,198000,0,49500,2026-08-11,183446,2026-08-20,,,SETTLED,DR2640100048,1800003347,2026-08-27
7253,SCRAP ACSR CONDUCTORS (Conductor Pieces),227,21980,KG,1923,OMKAR STEELS,1646431,0.02,411608,2026-08-14,1492490,2026-08-24,,,SETTLED,DR2640100045,1800003315,2026-08-27
1,Scrap Power Transformer,2787314,21977,NO,1976,SHAR JAHAN TRADERS,2787314,0,696829,2026-08-13,2582447.09429161,2026-08-13,,,SETTLED,DR2640100023,1800003194,2026-08-17
4,Scrap of 132 KV CT,51511,21977,NO,2002,NATIONAL ENTERPRISES,206044,0,51511,2026-08-13,190900,2026-08-24,,,SETTLED,DR2640100031,1800003303,2026-08-27
1,Scrap of 145 KV CB,65007,21977,NO,2003,NATIONAL ENTERPRISES,65007,0,16252,2026-08-13,60229,2026-08-24,,,SETTLED,DR2640100032,1800003304,2026-08-27
1,Scrap of 220KV CT,70006,21977,NO,2005,NATIONAL ENTERPRISES,70006,0,17502,2026-08-13,64859,2026-08-24,,,SETTLED,DR2640100033,1800003305,2026-08-27
25,Scrap of empty oil drums,700,21977,NO,2006,STERLING ENTERPRISES,17500,0,4375,2026-08-11,16214,2026-08-11,,,SETTLED,DR2640100018,1800003156,2026-08-14
