Lot No.,Buyer,Material Value,Service Charge to MSTC,GST TDS,Total Receivables in Cash,Security Deposit Received,Security Deposit Date,Final Payment Received,Final Payment Date,LPP Expected,LPP Received,LPP Receipt Date,Total Received,Outstanding,Payment Status,Invoice No.,SAP Document,Document/Invoice Date
1763,AL HAMD TRADE CORPORATION,790089,21411,15802,913738,197522,2026-08-24,716216,2026-08-18,0,,,913738,0,SETTLED,DR2640100029,1800003271,2026-08-24
1874,NATIONAL ENTERPRISES,156600,4244,0,184240,39150,2026-08-13,145090,2026-08-24,0,,,184240,0,SETTLED,DR2640100030,1800003302,2026-08-27
1875,F R KHANS ENTERPRISES,40768,1105,0,47964,10192,2026-08-11,37772,2026-08-20,0,,,47964,0,SETTLED,DR2640100047,1800003346,2026-08-27
1876,F R KHANS ENTERPRISES,198000,5366,0,232947,49500,2026-08-11,183446,2026-08-20,0,,,232946,1,SETTLED,DR2640100048,1800003347,2026-08-27
1923,OMKAR STEELS,1646431,44618,32929,1904097,411608,2026-08-14,1492490,2026-08-24,0,,,1904098,-1,SETTLED,DR2640100045,1800003315,2026-08-27
1976,SHAR JAHAN TRADERS,2787314,75536,0,3279275,696829,2026-08-13,2582447,2026-08-13,0,,,3279276,-1,SETTLED,DR2640100023,1800003194,2026-08-17
2002,NATIONAL ENTERPRISES,206044,5584,0,242411,51511,2026-08-13,190900,2026-08-24,0,,,242411,0,SETTLED,DR2640100031,1800003303,2026-08-27
2003,NATIONAL ENTERPRISES,65007,1762,0,76481,16252,2026-08-13,60229,2026-08-24,0,,,76481,0,SETTLED,DR2640100032,1800003304,2026-08-27
2005,NATIONAL ENTERPRISES,70006,1897,0,82362,17502,2026-08-13,64859,2026-08-24,0,,,82361,1,SETTLED,DR2640100033,1800003305,2026-08-27
2006,STERLING ENTERPRISES,17500,474,0,20589,4375,2026-08-11,16214,2026-08-11,0,,,20589,0,SETTLED,DR2640100018,1800003156,2026-08-14
2007,SHAR JAHAN TRADERS,3857116,104528,0,4537897,964279,2026-08-13,3573619,2026-08-13,0,,,4537898,-1,SETTLED,DR2640100024,1800003196,2026-08-17
2008,HIND TRADERS,135750,3679,0,159710,33938,2026-08-14,125772,2026-08-18,0,,,159710,0,SETTLED,DR2640100026,1800003247,2026-08-20
2011,STERLING ENTERPRISES,15400,417,0,18118,3850,2026-08-11,14267,2026-08-11,0,,,18117,1,SETTLED,DR2640100019,1800003157,2026-08-14
2015,STERLING ENTERPRISES,71000,1924,0,83532,17750,2026-08-11,65782,2026-08-11,0,,,83532,0,SETTLED,DR2640100020,1800003158,2026-08-14
2018,NATIONAL ENTERPRISES,220001,5962,0,258831,55000,2026-08-13,203831,2026-08-24,0,,,258831,0,SETTLED,DR2640100034,1800003306,2026-08-27
2019,NATIONAL ENTERPRISES,210001,5691,0,247066,52500,2026-08-13,194566,2026-08-24,0,,,247066,0,SETTLED,DR2640100035,1800003307,2026-08-27
2020,OMKAR STEELS,1165500,31585,23310,1347901,291375,2026-08-10,1056525,2026-08-10,0,,,1347900,1,SETTLED,DR2640100017,1800003065,2026-08-12
2022,NATIONAL SCRAP AND BUILDING MATERIAL SUPPLIER,330600,8959,0,388951,82650,2026-08-14,306301,2026-08-21,0,,,388951,0,SETTLED,DR2640100028,1800003269,2026-08-24
2023,NATIONAL ENTERPRISES,251229,6808,0,295571,62807,2026-08-13,232764,2026-08-24,0,,,295571,0,SETTLED,DR2640100044,1800003308,2026-08-27
2025,STERLING ENTERPRISES,63000,1707,0,74120,15750,2026-08-11,58418,2026-08-11,0,,,74168,-48,SETTLED,DR2640100021,1800003160,2026-08-14
2027,NATIONAL ENTERPRISES,50003,1355,0,58829,12501,2026-08-13,46328,2026-08-24,0,,,58829,0,SETTLED,DR2640100036,1800003309,2026-08-27
2033,WATAN SCRAP TRADERS,517000,14011,0,608251,129250,2026-08-14,479001,2026-08-21,0,,,608251,0,SETTLED,DR2640100042,1800003317,2026-08-27
2035,NATIONAL ENTERPRISES,28002,759,0,32944,7001,2026-08-13,25943,2026-08-24,0,,,32944,0,SETTLED,DR2640100037,1800003310,2026-08-27
2036,M I SCRAP TRADERS,549400,14889,10988,648347,137350,2026-08-14,509019,2026-09-04,12966,12966,2026-09-04,659335,-10988,SETTLED,,,
2037,WATAN SCRAP TRADERS,26550,720,0,31236,6638,2026-08-14,24598,2026-08-21,0,,,31236,0,SETTLED,DR2640100043,1800003318,2026-08-27
2040,STERLING ENTERPRISES,270006,7317,0,330406,67502,2026-08-11,0,,12744,,,67502,262904,OUTSTANDING,,,
